count_point_id,direction_of_travel,year,count_date,hour,region_id,region_name,local_authority_id,local_authority_name,road_name,road_type,start_junction_road_name,end_junction_road_name,easting,northing,latitude,longitude,link_length_km,link_length_miles,pedal_cycles,two_wheeled_motor_vehicles,cars_and_taxis,buses_and_coaches,lgvs,hgvs_2_rigid_axle,hgvs_3_rigid_axle,hgvs_4_or_more_rigid_axle,hgvs_3_or_4_articulated_axle,hgvs_5_articulated_axle,hgvs_6_articulated_axle,all_hgvs,all_motor_vehicles
8469,N,2019,5/14/2019,17,6,London,145,Camden,A400,Major,A40,A5204,529700,181590,51.518349,-0.13208953,0.5,0.31,241,93,235,49,63,5,1,2,2,0,0,10,450
8469,S,2019,5/14/2019,16,6,London,145,Camden,A400,Major,A40,A5204,529700,181590,51.518349,-0.13208953,0.5,0.31,52,0,1,48,0,0,0,0,0,0,0,0,49
8469,S,2019,5/14/2019,8,6,London,145,Camden,A400,Major,A40,A5204,529700,181590,51.518349,-0.13208953,0.5,0.31,118,0,0,63,0,0,0,0,0,0,0,0,63
8469,N,2019,5/14/2019,16,6,London,145,Camden,A400,Major,A40,A5204,529700,181590,51.518349,-0.13208953,0.5,0.31,79,45,170,48,62,5,0,4,1,0,1,11,336
8469,S,2019,5/14/2019,13,6,London,145,Camden,A400,Major,A40,A5204,529700,181590,51.518349,-0.13208953,0.5,0.31,52,0,1,54,0,0,0,0,0,0,0,0,55
8469,N,2019,5/14/2019,12,6,London,145,Camden,A400,Major,A40,A5204,529700,181590,51.518349,-0.13208953,0.5,0.31,83,48,111,49,109,13,3,0,2,0,0,18,335
8469,S,2019,5/14/2019,10,6,London,145,Camden,A400,Major,A40,A5204,529700,181590,51.518349,-0.13208953,0.5,0.31,42,0,0,54,0,0,0,0,0,0,0,0,54
16434,N,2019,7/5/2019,11,6,London,145,Camden,A41,Major,Adelaide Road roundabout,A598,526150,185000,51.549797,-0.18200533,2.5,1.55,8,14,782,37,345,20,17,9,2,1,4,53,1231
16434,N,2019,7/5/2019,13,6,London,145,Camden,A41,Major,Adelaide Road roundabout,A598,526150,185000,51.549797,-0.18200533,2.5,1.55,11,29,785,39,318,28,6,9,3,4,3,53,1224
16434,S,2019,7/5/2019,14,6,London,145,Camden,A41,Major,Adelaide Road roundabout,A598,526150,185000,51.549797,-0.18200533,2.5,1.55,6,24,1010,41,162,12,2,2,0,2,0,18,1255
16434,S,2019,7/5/2019,18,6,London,145,Camden,A41,Major,Adelaide Road roundabout,A598,526150,185000,51.549797,-0.18200533,2.5,1.55,11,20,927,22,115,14,1,2,2,1,0,20,1104
16434,N,2019,7/5/2019,16,6,London,145,Camden,A41,Major,Adelaide Road roundabout,A598,526150,185000,51.549797,-0.18200533,2.5,1.55,22,57,989,42,265,15,2,11,1,3,0,32,1385
16434,N,2019,7/5/2019,18,6,London,145,Camden,A41,Major,Adelaide Road roundabout,A598,526150,185000,51.549797,-0.18200533,2.5,1.55,63,79,976,40,215,5,6,4,0,2,0,17,1327
